"","series","variable","value"
"186",1977.41666666667,"female",392
"187",1977.5,"female",411
"188",1977.58333333334,"female",348
"189",1977.66666666667,"female",387
"190",1977.75,"female",385
"191",1977.83333333334,"female",411
"192",1977.91666666667,"female",638
"193",1978,"female",796
"194",1978.08333333334,"female",853
"195",1978.16666666667,"female",737
"196",1978.25,"female",546
"197",1978.33333333334,"female",530
"198",1978.41666666667,"female",446
"199",1978.5,"female",431
"200",1978.58333333334,"female",362
"201",1978.66666666667,"female",387
"202",1978.75,"female",430
"203",1978.83333333334,"female",425
"204",1978.91666666667,"female",679
"205",1979,"female",821
"206",1979.08333333334,"female",785
"207",1979.16666666667,"female",727
"208",1979.25,"female",612
"209",1979.33333333334,"female",478
"210",1979.41666666667,"female",429
"211",1979.5,"female",405
"212",1979.58333333334,"female",379
"213",1979.66666666667,"female",393
"214",1979.75,"female",411
"215",1979.83333333334,"female",487
"216",1979.91666666667,"female",574
